Expenditure category,All items,Housing%,Education and communication(5)%,Food and beverages%,Medical care%,Transportation%,Food%,Energy%,Recreation%,Durables%,Nondurables%
"Jan.
2013",230.28,0.014614705282942,0.0122269232792502,0.0114852575045472,0.0259719254220009,0.00500002371927762,0.01170776993630350,-0.01464071376117360,0.00226828862440106,-0.00743778859242519,0.00609554067854314
"Feb.
2013",232.166,0.0166111153823541,0.0152103244018347,0.0160462545116647,0.0249009662188829,-0.00993335789468773,0.01658164362585280,-0.03312824781693140,0.00422450211225109,-0.00864514984926400,-0.00212905486134189
"Mar.
2013",232.773,0.0175856822296569,0.0171276316283258,0.0151348471045258,0.0284885953273163,-0.00611749576620389,0.01507354204611840,-0.02150245071944290,0.00588620013080442,-0.00734109062571957,-0.00241808676042432
"Apr.
2013",232.531,0.017867936954737,0.0175639986795115,0.0135168757185263,0.0283019782777346,-0.00897872092449889,0.01328279753380720,-0.02413035317671350,0.00636687133686846,-0.00915220729705392,-0.00284850344011572
"May
2013",232.945,0.0180879484256952,0.0131864838540495,0.0150220572158606,0.0245615307442193,-0.00985650094216547,0.01500820694354570,-0.02216886530886200,0.00584188544672987,-0.01022689267923470,-0.00016351206232893
"Jun.
2013",233.504,0.017238210095449,0.0130979498861049,0.0126975833907901,0.0180307936775451,0.014184102158812,0.01268608469663440,0.01489963836226850,0.00425790754257903,-0.01119478396878820,0.01336082289402320
"Jul.
2013",233.596,0.0212792634652242,0.0116214637652945,0.0135684222695103,0.0180080094251114,0.026832295817895,0.01353422077644140,0.04979330921940890,0.00402804844097990,-0.01078671835852000,0.02080708741415050
"Aug.
2013",233.877,0.0208986182325356,0.00966136721401992,0.0125631898537286,0.0184909487129696,0.004025375382228,0.01215001964502300,0.00425079702444205,0.00395896597029469,-0.00835320088300219,0.00307194394924847
"Sep.
2013",234.149,0.0208261687084916,0.0109923573407407,0.0135626804229371,0.0211152547968012,-0.0114004825362466,0.01326515804659030,-0.02465942605683250,0.00324452215060502,-0.00308735341744229,-0.00839355368057114
"Oct.
2013",233.546,0.0227975754108033,0.014513938872276,0.0116139367240689,0.0231069488166862,-0.00973518834683427,0.01125690784151770,-0.00802321543331347,0.00373778033352503,-0.00260784138608557,-0.00642702864066588
"Nov.
2013",233.069,0.0203204446549367,0.0157641610260066,0.0130015080386127,0.0225222320155355,0.00194849085188209,0.01266517948368650,-0.00176608940932260,0.00382527469654848,-0.00362516671291366,0.00322622389012103
"Dec.
2013",233.049,0.0197159334380803,0.0159621067011152,0.0100114781277899,0.0217028859153382,0.0046777718512364,0.00956285313734655,-0.00144342172328285,0.00771569878191582,-0.00563806996943435,0.00639244275222405
"Jan.
2014",233.916,0.0182481427109747,0.0120687742651137,0.00693106616479594,0.0152179649002702,0.00288272672033309,0.00646523455515544,-0.00034949536279321,0.00033967391304349,-0.00984750234783787,0.00283579402232623
"Feb.
2014",234.781,0.0216255069171451,0.0109801722293144,0.0108453625703764,0.0151221229570366,-0.0275227685873226,0.01088019094290770,-0.03463686700571440,-0.00065019505851746,-0.01248918347502600,-0.01262748907236530
"Mar.
2014",236.293,0.0233200232225241,0.0104700460829492,0.0135820914473879,0.0203110191109833,-0.0289804595621495,0.01386185535602460,-0.03014845831747240,0.00233997192033704,-0.01269272907035790,-0.01144853652105120
"Apr.
2014",237.072,0.0264706663244626,0.0140131627597427,0.0146350116784437,0.0225428547833371,-0.000718233055189626,0.01501851453084550,0.02363977332619700,0.00350211080193145,-0.01364929752800990,0.00653271218054675
"May
2014",237.9,0.0211242154996122,0.015347179077542,0.0195750907076466,0.0265352360500811,0.01154768089392,0.02034025857622410,0.01982203748915480,0.00408410487150652,-0.01170364972584840,0.01565264312504420
"Jun.
2014",238.343,0.0205026571022677,0.0158847651334586,0.0225535006716626,0.0250080138781514,0.0152151387904237,0.02344673806547520,0.01612013289880560,0.00529430623792321,-0.01277949592975720,0.01848976648928880
"Jul.
2014",238.25,0.0241708775955232,0.0143718503849734,0.0213962870900627,0.0247530811889764,0.0161414960544021,0.02246825962759650,0.03376695707522770,0.00565936351660547,-0.01289357458327400,0.01975801090280550
"Aug.
2014",237.852,0.0258614654976287,0.0101381879091089,0.022439624517586,0.0212197738868872,0.0120884785395292,0.02370622477949160,0.03158261036514390,0.00435250052021915,-0.01181646987424920,0.01415929203539820
"Sep.
2014",238.031,0.0251870563966295,0.0103567066258054,0.0254923266117486,0.0181087130221061,0.000875793257767518,0.02647754734298300,0.00981035197353856,0.00093747558657330,-0.01077204104658040,0.00759972428907230
"Oct.
2014",237.433,0.027644704460462,0.0117930732135027,0.0271916028158826,0.0198396568881663,0.0066994505520068,0.02841456083339280,0.03585802686522110,0.00072915400774295,-0.01138221607344980,0.01659075543536270
"Nov.
2014",236.151,0.0261984075220289,0.00850603607026991,0.0302628532946103,0.0217117875344835,-0.00102422431452138,0.03166541127162400,0.00690155102601061,0.00059830912638199,-0.01012313627922900,0.01624941165923300
"Dec.
2014",234.812,0.0236923964140293,0.00621816933003061,0.029778824320915,0.0265893057418945,-0.0283545706891612,0.03078585271725200,-0.05413955709425180,0.00148883374689820,-0.01524786818904460,0.00008977063602500
"Jan.
2015",233.707,0.0191178514349245,0.00295609649282874,0.0284473516700727,0.023506765265199,-0.0640571562426798,0.02973977695167280,-0.12425746500745100,-0.00346996313164178,-0.01984696965590760,-0.02357465456334120
"Feb.
2015",234.722,0.0198349970767199,0.00407895216899578,0.0276603918555513,0.0189477527272055,-0.110875610812724,0.02892223965810830,-0.20418854656855700,-0.00318184962302007,-0.02138140088773400,-0.05257963411652250
